SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Sepal_petal_wid_len_diff,Sepal_petal_width_diff
6.0,2.7,5.1,1.6,0.9000000000000004,1.1
6.1,2.6,5.6,1.4,0.5,1.2000000000000002
7.7,3.0,6.1,2.3,1.6000000000000005,0.7000000000000002
5.5,2.5,4.0,1.3,1.5,1.2
4.4,2.9,1.4,0.2,3.0000000000000004,2.6999999999999997
4.3,3.0,1.1,0.1,3.1999999999999997,2.9
6.0,2.2,5.0,1.5,1.0,0.7000000000000002
7.2,3.2,6.0,1.8,1.2000000000000002,1.4000000000000001
4.6,3.1,1.5,0.2,3.0999999999999996,2.9
5.1,3.5,1.4,0.3,3.6999999999999997,3.2
4.4,3.0,1.3,0.2,3.1000000000000005,2.8
6.3,2.5,4.9,1.5,1.3999999999999995,1.0
6.3,3.4,5.6,2.4,0.7000000000000002,1.0
4.6,3.4,1.4,0.3,3.1999999999999997,3.1
6.8,3.0,5.5,2.1,1.2999999999999998,0.8999999999999999
6.3,3.3,6.0,2.5,0.2999999999999998,0.7999999999999998
4.7,3.2,1.3,0.2,3.4000000000000004,3.0
6.1,2.9,4.7,1.4,1.3999999999999995,1.5
6.5,2.8,4.6,1.5,1.9000000000000004,1.2999999999999998
6.2,2.8,4.8,1.8,1.4000000000000004,0.9999999999999998
7.0,3.2,4.7,1.4,2.3,1.8000000000000003
6.4,3.2,5.3,2.3,1.1000000000000005,0.9000000000000004
5.1,3.8,1.6,0.2,3.4999999999999996,3.5999999999999996
6.9,3.1,5.4,2.1,1.5,1.0
5.9,3.0,4.2,1.5,1.7000000000000002,1.5
6.5,3.0,5.2,2.0,1.2999999999999998,1.0
5.7,2.6,3.5,1.0,2.2,1.6
5.2,2.7,3.9,1.4,1.3000000000000003,1.3000000000000003
6.1,3.0,4.6,1.4,1.5,1.6
4.5,2.3,1.3,0.3,3.2,1.9999999999999998
6.6,2.9,4.6,1.3,2.0,1.5999999999999999
5.5,2.6,4.4,1.2,1.0999999999999996,1.4000000000000001
5.3,3.7,1.5,0.2,3.8,3.5
5.6,3.0,4.1,1.3,1.5,1.7
7.3,2.9,6.3,1.8,1.0,1.0999999999999999
6.7,3.3,5.7,2.1,1.0,1.1999999999999997
5.1,3.7,1.5,0.4,3.5999999999999996,3.3000000000000003
4.9,2.4,3.3,1.0,1.6000000000000005,1.4
6.7,3.3,5.7,2.5,1.0,0.7999999999999998
7.2,3.0,5.8,1.6,1.4000000000000004,1.4
4.9,3.6,1.4,0.1,3.5000000000000004,3.5
6.7,3.1,5.6,2.4,1.1000000000000005,0.7000000000000002
4.9,3.0,1.4,0.2,3.5000000000000004,2.8
6.9,3.1,4.9,1.5,2.0,1.6
7.4,2.8,6.1,1.9,1.3000000000000007,0.8999999999999999
6.3,2.9,5.6,1.8,0.7000000000000002,1.0999999999999999
5.7,2.8,4.1,1.3,1.6000000000000005,1.4999999999999998
6.5,3.0,5.5,1.8,1.0,1.2
6.3,2.3,4.4,1.3,1.8999999999999995,0.9999999999999998
6.4,2.9,4.3,1.3,2.1000000000000005,1.5999999999999999
5.6,2.8,4.9,2.0,0.6999999999999993,0.7999999999999998
5.9,3.0,5.1,1.8,0.8000000000000007,1.2
5.4,3.4,1.7,0.2,3.7,3.1999999999999997
6.1,2.8,4.0,1.3,2.0999999999999996,1.4999999999999998
4.9,2.5,4.5,1.7,0.40000000000000036,0.8
5.8,4.0,1.2,0.2,4.6,3.8
5.8,2.6,4.0,1.2,1.7999999999999998,1.4000000000000001
7.1,3.0,5.9,2.1,1.1999999999999993,0.8999999999999999
